X,Y,Z
0.3871,0.6820,0.5793
0.8123,0.6400,0.5399
0.0862,0.0188,0.8879
0.2231,0.4843,0.6019
0.6871,0.6268,0.2646
0.4424,0.4194,0.0851
0.4849,0.8782,0.3352
0.8529,0.6133,0.7812
0.9157,0.1105,0.8948
0.5818,0.5025,0.1883
0.1084,0.2764,0.1355
0.7418,0.1147,0.7101
0.3582,0.3128,0.8490
0.9511,0.7396,0.8179
0.4191,0.9952,0.5847
0.3535,0.9431,0.1061
0.9986,0.5473,0.2269
0.8574,0.1719,0.8260
0.2088,0.9281,0.3076
0.8265,0.9007,0.1651
0.1159,0.0767,0.1254
0.1467,0.0538,0.1355
0.5534,0.4685,0.2574
0.1811,0.6386,0.2400
0.2114,0.4362,0.2123
0.2476,0.8907,0.1691
0.8153,0.7404,0.8963
0.6069,0.6775,0.1238
0.5256,0.0002,0.1056
0.3538,0.8478,0.1399
0.8483,0.4111,0.0236
0.6519,0.5962,0.8632
0.1467,0.3930,0.2771
0.7708,0.7674,0.4758
0.4370,0.8494,0.6535
0.0057,0.4326,0.9619
0.5528,0.9257,0.8530
0.0894,0.4376,0.4473
0.5113,0.7094,0.6626
0.1740,0.4543,0.0478
0.6108,0.7364,0.8027
0.6383,0.2872,0.7491
0.0272,0.0092,0.9608
0.4171,0.1168,0.7831
0.2098,0.5428,0.9947
0.7984,0.7716,0.6797
0.6931,0.5583,0.8569
0.7616,0.7092,0.7621
0.3269,0.3856,0.1659
0.6969,0.4099,0.9917
