####
# Wall Drawing matplotlib drawings/86_001_5.0m_10.0m_2500.png
#
# User input was Height(m): 5.0, Width(m): 10.0, Number of lines: 2500
#
#
x, y, degrees
4.3288, 4.3608, 68.94
4.8727, 4.0886, 34.99
4.0631, 1.0681, 350.23
7.5303, 0.1944, 314.44
3.4088, 2.4592, 138.96
3.7227, 3.1636, 344.63
3.5166, 0.2974, 88.29
6.0447, 1.8597, 136.69
9.3167, 1.6193, 312.99
2.9702, 3.0514, 190.62
3.7576, 2.3611, 343.29
9.2417, 0.1539, 88.89
1.1920, 1.9371, 240.51
4.2178, 3.4906, 150.09
2.9789, 0.4210, 18.77
4.3616, 2.7663, 305.96
8.8294, 1.9356, 141.37
4.0014, 4.3098, 119.06
8.1871, 3.2079, 32.84
1.4118, 4.0253, 279.63
1.5654, 4.9248, 325.58
7.5868, 1.3374, 347.59
6.2461, 2.5642, 111.57
2.4460, 0.5702, 260.56
4.0849, 4.5863, 134.64
5.6650, 4.5932, 7.29
6.6917, 1.3466, 231.11
2.0784, 2.7951, 320.30
9.1833, 3.5289, 106.03
5.6341, 0.7569, 155.89
0.3840, 1.6051, 327.91
3.6410, 2.6684, 187.34
8.2590, 4.4006, 310.00
2.5651, 3.4803, 37.83
2.5414, 0.9565, 347.43
1.7991, 3.1637, 17.16
3.2959, 1.7585, 232.75
6.9422, 1.1352, 190.61
3.4924, 2.3084, 44.93
4.5474, 4.6892, 103.03
9.8251, 0.3151, 144.70
5.7879, 2.8403, 303.66
4.3742, 0.3562, 265.96
8.9669, 1.7088, 279.27
6.0231, 2.6259, 103.50
2.5764, 1.0045, 243.62
0.6389, 1.3022, 97.42
2.0760, 2.2917, 332.33
7.0573, 3.2748, 264.53
6.3456, 4.5494, 240.49
6.1815, 0.2606, 346.60
7.9650, 0.0645, 167.27
3.8394, 0.8649, 228.61
1.7868, 0.8873, 342.04
3.2545, 0.4365, 214.59
6.5099, 3.3246, 319.93
2.8553, 4.6473, 204.64
6.7652, 2.0401, 38.95
4.7880, 1.7076, 51.75
1.8104, 0.5190, 68.64
6.7099, 2.2450, 42.21
5.8476, 2.9378, 121.92
9.3914, 3.4574, 33.32
3.7961, 0.6396, 133.12
9.0189, 1.0303, 98.12
5.5984, 2.7050, 54.20
5.8477, 3.8612, 1.71
9.1487, 1.9312, 255.91
3.5962, 3.4941, 71.38
8.7310, 2.3862, 202.84
6.8863, 2.6910, 318.37
9.5066, 4.9912, 62.92
2.0642, 1.1537, 346.29
3.7688, 0.7254, 84.74
4.4703, 0.3158, 97.22
7.2161, 1.1053, 106.68
5.1342, 3.2279, 293.24
2.3618, 4.2391, 26.57
3.8009, 4.5308, 40.12
4.6188, 0.6716, 295.00
8.3087, 4.5864, 184.09
3.1111, 4.4775, 328.45
2.1674, 3.6244, 139.04
5.0969, 3.6620, 140.13
0.4895, 0.3811, 31.29
4.7794, 2.8311, 212.72
3.4468, 3.2835, 137.71
8.1526, 0.3492, 264.98
2.5329, 0.2716, 165.24
0.3457, 2.4207, 258.59
8.4602, 3.9180, 26.49
5.1917, 1.2927, 113.54
6.4414, 0.3749, 131.36
6.0698, 4.6295, 10.82
4.1839, 3.1547, 216.17
2.7183, 3.2456, 319.72
9.6876, 0.8597, 139.51
8.4018, 0.0270, 10.94
9.8100, 3.8696, 248.31
5.2796, 0.5596, 146.49
2.8335, 0.4838, 173.30
4.9984, 3.8362, 348.28
1.2699, 1.9629, 310.07
0.3976, 3.2292, 174.59
6.8876, 0.5907, 144.66
4.6999, 3.4632, 211.40
5.5110, 4.2492, 241.31
3.5474, 4.5740, 199.67
2.5418, 4.8184, 222.63
2.3233, 1.3244, 342.84
4.0848, 1.7054, 109.35
1.8465, 2.6110, 84.91
4.1708, 4.8496, 123.24
7.0932, 4.1505, 113.39
6.6343, 4.3433, 87.98
0.3573, 2.0349, 118.25
6.6069, 0.9977, 351.62
5.7047, 2.5575, 80.04
4.1137, 4.4894, 28.81
7.7257, 1.7959, 352.89
1.7403, 2.8527, 167.53
1.8820, 1.6762, 47.63
3.3364, 2.2719, 10.13
1.5113, 3.8166, 64.76
3.8718, 2.3193, 4.43
1.7552, 1.9709, 305.20
3.5704, 1.3577, 304.56
5.2718, 4.8287, 184.14
6.4738, 1.2757, 314.15
4.9807, 2.0377, 315.95
5.4687, 2.6278, 155.86
7.8631, 4.6281, 120.56
3.5655, 3.3848, 263.20
3.1564, 2.9338, 317.25
4.1536, 0.7007, 203.37
8.6688, 3.1318, 148.03
8.2634, 4.7568, 235.40
7.1628, 3.2833, 184.52
8.6101, 3.2635, 307.91
6.7385, 2.8917, 11.37
4.9063, 4.7041, 101.80
7.7381, 1.2945, 70.37
9.3147, 1.7794, 339.94
9.0996, 4.4509, 148.58
5.3479, 3.5273, 202.97
0.5070, 4.8219, 279.55
